PRISM Time Series Data
Location:  Lat: 44.9479   Lon: -109.6444   Elev: 2686m
Climate variable: tmean
Spatial resolution: 4km
Period: 1895-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2021-Apr-23
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,tmean (degrees C)
1946-04,2.7
1946-05,3.4
1946-06,8.8
1946-07,14.9
1946-08,12.1
1946-09,6.4
1946-10,-1.3
1946-11,-5.1
1946-12,-6.0
1947-01,-9.3
1947-02,-8.8
1947-03,-6.5
1947-04,-1.5
1947-05,5.0
1947-06,6.0
1947-07,13.5
1947-08,11.8
1947-09,7.7
1947-10,4.3
1947-11,-7.6
1947-12,-7.2
1948-01,-8.9
1948-02,-9.5
1948-03,-7.7
1948-04,0.3
1948-05,6.1
1948-06,9.3
1948-07,12.0
1948-08,12.4
1948-09,9.4
1948-10,3.2
1948-11,-8.0
1948-12,-11.7
1949-01,-15.4
1949-02,-10.8
1949-03,-5.7
1949-04,2.2
1949-05,5.7
1949-06,7.7
1949-07,12.4
1949-08,13.0
1949-09,7.8
1949-10,-0.6
1949-11,-0.3
1949-12,-9.2
1950-01,-13.9
1950-02,-6.3
1950-03,-7.0
1950-04,-1.8
1950-05,1.4
1950-06,7.2
1950-07,10.4
1950-08,10.9
1950-09,6.5
1950-10,3.9
1950-11,-4.8
1950-12,-5.2
1951-01,-11.8
1951-02,-7.2
1951-03,-8.2
1951-04,-1.6
1951-05,4.8
1951-06,4.7
1951-07,12.6
1951-08,10.6
1951-09,6.2
1951-10,-0.0
1951-11,-6.5
1951-12,-11.8
1952-01,-10.5
1952-02,-8.7
1952-03,-8.3
1952-04,2.0
1952-05,4.7
1952-06,9.3
1952-07,11.5
1952-08,12.0
1952-09,9.7
1952-10,4.5
1952-11,-7.3
1952-12,-7.0
1953-01,-4.9
1953-02,-8.4
1953-03,-4.3
1953-04,-3.4
1953-05,2.6
1953-06,8.2
1953-07,14.2
1953-08,12.7
1953-09,8.9
1953-10,4.4
1953-11,-2.1
1953-12,-9.0
1954-01,-8.8
1954-02,-3.8
1954-03,-8.1
1954-04,-0.2
1954-05,4.6
1954-06,6.8
1954-07,14.3
1954-08,11.6
1954-09,8.6
1954-10,1.7
1954-11,-0.9
1954-12,-8.0
1955-01,-11.1
1955-02,-11.1
1955-03,-9.9
1955-04,-1.4
1955-05,4.2
1955-06,7.4
1955-07,13.3
1955-08,13.9
1955-09,7.7
1955-10,3.2
1955-11,-9.3
1955-12,-8.7
1956-01,-8.6
1956-02,-10.5
1956-03,-6.5
1956-04,-1.1
1956-05,5.6
1956-06,10.8
1956-07,12.4
1956-08,11.0
1956-09,9.1
1956-10,2.7
1956-11,-4.9
1956-12,-7.4
1957-01,-14.6
1957-02,-6.8
1957-03,-5.4
1957-04,-2.3
1957-05,4.7
1957-06,7.8
1957-07,13.3
1957-08,12.6
1957-09,7.0
1957-10,1.8
1957-11,-7.4
1957-12,-6.4
1958-01,-7.4
1958-02,-4.8
1958-03,-7.3
1958-04,-2.2
1958-05,7.5
1958-06,8.1
1958-07,10.1
1958-08,13.0
1958-09,7.1
1958-10,3.7
1958-11,-5.3
1958-12,-6.2
1959-01,-9.2
1959-02,-9.6
1959-03,-5.4
1959-04,-1.2
1959-05,1.7
1959-06,10.1
1959-07,12.8
1959-08,11.7
1959-09,6.2
1959-10,0.9
1959-11,-6.2
1959-12,-6.7
1960-01,-10.3
1960-02,-11.6
1960-03,-4.9
1960-04,-0.6
1960-05,3.9
1960-06,9.1
1960-07,13.9
1960-08,10.8
1960-09,8.6
1960-10,2.3
1960-11,-5.6
1960-12,-7.6
1961-01,-7.3
1961-02,-5.6
1961-03,-4.3
1961-04,-2.6
1961-05,4.2
1961-06,11.3
1961-07,13.2
1961-08,13.8
1961-09,3.2
1961-10,0.7
1961-11,-5.8
1961-12,-11.3
1962-01,-11.5
1962-02,-8.5
1962-03,-6.6
1962-04,1.0
1962-05,3.9
1962-06,8.5
1962-07,11.2
1962-08,10.3
1962-09,7.7
1962-10,4.3
1962-11,-2.9
1962-12,-6.3
1963-01,-14.5
1963-02,-4.6
1963-03,-5.8
1963-04,-1.5
1963-05,4.6
1963-06,8.0
1963-07,13.3
1963-08,12.5
1963-09,9.8
1963-10,4.9
1963-11,-3.6
1963-12,-8.2
1964-01,-10.4
1964-02,-10.8
1964-03,-9.0
1964-04,-0.8
1964-05,3.9
1964-06,7.0
1964-07,14.2
1964-08,10.4
1964-09,6.3
1964-10,3.4
1964-11,-5.3
1964-12,-9.5
1965-01,-7.8
1965-02,-9.0
1965-03,-11.8
1965-04,-0.5
1965-05,2.6
1965-06,7.2
1965-07,12.0
1965-08,10.8
1965-09,2.0
1965-10,4.5
1965-11,-2.4
1965-12,-6.6
1966-01,-9.8
1966-02,-9.7
1966-03,-4.6
1966-04,-2.2
1966-05,6.7
1966-06,7.2
1966-07,14.6
1966-08,11.6
1966-09,9.4
1966-10,1.3
1966-11,-4.4
1966-12,-7.6
1967-01,-8.7
1967-02,-7.4
1967-03,-5.4
1967-04,-2.0
1967-05,3.5
1967-06,7.3
1967-07,12.9
1967-08,12.8
1967-09,9.6
1967-10,2.6
1967-11,-4.8
1967-12,-11.3
1968-01,-9.4
1968-02,-5.3
1968-03,-3.1
1968-04,-2.9
1968-05,2.5
1968-06,7.8
1968-07,12.6
1968-08,9.6
1968-09,6.5
1968-10,2.2
1968-11,-6.3
1968-12,-11.0
1969-01,-9.8
1969-02,-8.4
1969-03,-7.7
1969-04,1.8
1969-05,5.7
1969-06,5.9
1969-07,11.9
1969-08,14.3
1969-09,8.9
1969-10,-2.2
1969-11,-4.5
1969-12,-7.2
1970-01,-9.5
1970-02,-5.6
1970-03,-7.4
1970-04,-5.6
1970-05,3.7
1970-06,9.3
1970-07,12.6
1970-08,14.0
1970-09,4.4
1970-10,-0.7
1970-11,-5.4
1970-12,-9.4
1971-01,-9.9
1971-02,-8.9
1971-03,-7.3
1971-04,-1.8
1971-05,3.9
1971-06,8.3
1971-07,11.2
1971-08,14.8
1971-09,5.0
1971-10,0.4
1971-11,-5.9
1971-12,-11.3
1972-01,-13.0
1972-02,-7.4
1972-03,-2.9
1972-04,-1.7
1972-05,3.9
1972-06,8.9
1972-07,10.6
1972-08,12.3
1972-09,5.0
1972-10,1.4
1972-11,-6.3
1972-12,-12.0
1973-01,-10.3
1973-02,-7.0
1973-03,-5.4
1973-04,-3.8
1973-05,3.6
1973-06,8.5
1973-07,12.3
1973-08,12.5
1973-09,6.4
1973-10,3.0
1973-11,-6.2
1973-12,-7.6
1974-01,-11.2
1974-02,-7.5
1974-03,-5.2
1974-04,-0.6
1974-05,2.1
1974-06,9.8
1974-07,13.6
1974-08,9.9
1974-09,6.9
1974-10,3.2
1974-11,-4.6
1974-12,-9.1
1975-01,-11.6
1975-02,-10.2
1975-03,-7.0
1975-04,-5.1
1975-05,1.3
1975-06,5.9
1975-07,13.8
1975-08,9.8
1975-09,6.8
1975-10,1.0
1975-11,-7.0
1975-12,-7.0
1976-01,-9.5
1976-02,-7.2
1976-03,-8.1
1976-04,-0.9
1976-05,4.8
1976-06,7.2
1976-07,13.5
1976-08,10.7
1976-09,8.0
1976-10,1.2
1976-11,-4.1
1976-12,-7.8
1977-01,-11.2
1977-02,-5.8
1977-03,-7.0
1977-04,1.2
1977-05,3.6
1977-06,10.8
1977-07,12.2
1977-08,10.2
1977-09,6.9
1977-10,2.5
1977-11,-6.3
1977-12,-8.9
1978-01,-9.6
1978-02,-8.1
1978-03,-3.0
1978-04,-0.3
1978-05,2.6
1978-06,7.7
1978-07,11.6
1978-08,10.3
1978-09,8.1
1978-10,3.2
1978-11,-6.5
1978-12,-13.6
1979-01,-16.3
1979-02,-8.7
1979-03,-4.6
1979-04,-1.5
1979-05,3.4
1979-06,8.9
1979-07,13.2
1979-08,12.1
1979-09,9.9
1979-10,3.7
1979-11,-7.1
1979-12,-5.8
1980-01,-11.3
1980-02,-6.3
1980-03,-6.6
1980-04,1.2
1980-05,4.8
1980-06,8.8
1980-07,13.4
1980-08,10.1
1980-09,7.9
1980-10,2.3
1980-11,-3.6
1980-12,-4.2
1981-01,-5.0
1981-02,-7.3
1981-03,-3.2
1981-04,0.7
1981-05,3.9
1981-06,7.1
1981-07,12.6
1981-08,13.7
1981-09,9.2
1981-10,0.2
1981-11,-2.4
1981-12,-8.6
1982-01,-12.9
1982-02,-9.8
1982-03,-5.0
1982-04,-3.3
1982-05,2.9
1982-06,7.2
1982-07,10.9
1982-08,12.9
1982-09,7.5
1982-10,-0.4
1982-11,-8.2
1982-12,-10.3
1983-01,-5.6
1983-02,-5.4
1983-03,-4.2
1983-04,-3.6
1983-05,1.8
1983-06,7.0
1983-07,12.0
1983-08,13.8
1983-09,6.5
1983-10,1.0
1983-11,-5.5
1983-12,-15.9
1984-01,-10.3
1984-02,-8.1
1984-03,-4.7
1984-04,-3.6
1984-05,1.4
1984-06,5.5
1984-07,12.1
1984-08,12.1
1984-09,3.6
1984-10,-3.1
1984-11,-6.5
1984-12,-11.9
1985-01,-11.6
1985-02,-12.9
1985-03,-6.9
1985-04,-0.5
1985-05,4.7
1985-06,7.9
1985-07,13.2
1985-08,10.0
1985-09,3.7
1985-10,-0.2
1985-11,-9.8
1985-12,-10.2
1986-01,-6.6
1986-02,-8.0
1986-03,-0.6
1986-04,-0.5
1986-05,3.2
1986-06,10.3
1986-07,10.2
1986-08,12.0
1986-09,4.2
1986-10,2.0
1986-11,-7.2
1986-12,-9.2
1987-01,-10.2
1987-02,-7.0
1987-03,-5.0
1987-04,2.2
1987-05,6.3
1987-06,9.3
1987-07,10.8
1987-08,9.0
1987-09,6.0
1987-10,2.5
1987-11,-3.8
1987-12,-11.6
1988-01,-12.3
1988-02,-7.5
1988-03,-5.8
1988-04,-1.4
1988-05,3.5
1988-06,12.1
1988-07,14.7
1988-08,11.8
1988-09,5.1
1988-10,3.6
1988-11,-7.1
1988-12,-10.3
1989-01,-10.7
1989-02,-12.1
1989-03,-4.5
1989-04,-0.5
1989-05,3.5
1989-06,7.3
1989-07,14.5
1989-08,11.2
1989-09,6.3
1989-10,0.7
1989-11,-5.6
1989-12,-10.1
1990-01,-9.3
1990-02,-9.9
1990-03,-4.8
1990-04,0.4
1990-05,1.4
1990-06,7.3
1990-07,11.5
1990-08,11.4
1990-09,9.5
1990-10,-1.1
1990-11,-5.2
1990-12,-15.6
1991-01,-11.8
1991-02,-4.8
1991-03,-6.1
1991-04,-2.3
1991-05,2.5
1991-06,7.6
1991-07,12.2
1991-08,12.6
1991-09,7.0
1991-10,0.7
1991-11,-8.6
1991-12,-9.1
1992-01,-9.0
1992-02,-4.6
1992-03,-2.4
1992-04,0.7
1992-05,5.2
1992-06,8.0
1992-07,8.8
1992-08,10.6
1992-09,5.5
1992-10,2.5
1992-11,-7.9
1992-12,-11.9
1993-01,-11.3
1993-02,-9.6
1993-03,-3.7
1993-04,-2.3
1993-05,4.9
1993-06,5.6
1993-07,7.2
1993-08,9.0
1993-09,5.3
1993-10,0.7
1993-11,-8.7
1993-12,-8.0
1994-01,-7.4
1994-02,-10.6
1994-03,-4.5
1994-04,-0.5
1994-05,5.2
1994-06,8.2
1994-07,11.2
1994-08,12.4
1994-09,8.3
1994-10,0.1
1994-11,-10.2
1994-12,-8.4
1995-01,-9.5
1995-02,-6.6
1995-03,-6.6
1995-04,-3.3
1995-05,1.7
1995-06,6.3
1995-07,10.7
1995-08,11.7
1995-09,6.8
1995-10,-1.8
1995-11,-5.2
1995-12,-8.6
1996-01,-11.3
1996-02,-9.6
1996-03,-6.7
1996-04,-1.4
1996-05,1.3
1996-06,8.5
1996-07,12.2
1996-08,11.7
1996-09,5.0
1996-10,0.5
1996-11,-5.1
1996-12,-10.2
1997-01,-10.4
1997-02,-9.0
1997-03,-5.5
1997-04,-4.5
1997-05,3.6
1997-06,8.6
1997-07,10.8
1997-08,11.0
1997-09,8.0
1997-10,0.4
1997-11,-6.1
1997-12,-9.2
1998-01,-8.2
1998-02,-7.3
1998-03,-5.9
1998-04,-1.3
1998-05,4.0
1998-06,4.2
1998-07,13.9
1998-08,12.5
1998-09,9.9
1998-10,2.0
1998-11,-4.6
1998-12,-11.1
1999-01,-8.2
1999-02,-8.0
1999-03,-4.2
1999-04,-2.7
1999-05,2.5
1999-06,6.6
1999-07,12.1
1999-08,12.3
1999-09,5.3
1999-10,2.7
1999-11,-0.7
1999-12,-7.7
2000-01,-8.9
2000-02,-6.0
2000-03,-4.4
2000-04,0.2
2000-05,3.9
2000-06,7.6
2000-07,13.4
2000-08,13.2
2000-09,6.5
2000-10,1.7
2000-11,-9.5
2000-12,-9.4
2001-01,-8.1
2001-02,-10.3
2001-03,-3.6
2001-04,-1.5
2001-05,4.3
2001-06,8.4
2001-07,13.5
2001-08,13.8
2001-09,9.2
2001-10,0.7
2001-11,-2.4
2001-12,-9.6
2002-01,-10.6
2002-02,-9.0
2002-03,-8.4
2002-04,-2.0
2002-05,2.1
2002-06,8.4
2002-07,14.6
2002-08,10.3
2002-09,7.7
2002-10,-1.5
2002-11,-5.4
2002-12,-7.5
2003-01,-5.7
2003-02,-9.8
2003-03,-5.1
2003-04,0.1
2003-05,3.8
2003-06,7.0
2003-07,15.0
2003-08,14.1
2003-09,6.9
2003-10,3.5
2003-11,-9.1
2003-12,-7.6
2004-01,-8.5
2004-02,-7.9
2004-03,-2.3
2004-04,0.7
2004-05,3.1
2004-06,7.1
2004-07,11.7
2004-08,10.2
2004-09,6.2
2004-10,1.3
2004-11,-4.7
2004-12,-7.7
2005-01,-7.3
2005-02,-7.0
2005-03,-4.7
2005-04,-0.9
2005-05,2.9
2005-06,7.1
2005-07,13.4
2005-08,11.7
2005-09,7.0
2005-10,3.3
2005-11,-4.5
2005-12,-9.3
2006-01,-7.2
2006-02,-10.3
2006-03,-5.7
2006-04,1.0
2006-05,5.1
2006-06,10.0
2006-07,15.1
2006-08,11.9
2006-09,7.1
2006-10,0.2
2006-11,-5.2
2006-12,-8.2
2007-01,-10.9
2007-02,-7.4
2007-03,-1.8
2007-04,-0.2
2007-05,5.2
2007-06,10.0
2007-07,16.1
2007-08,13.0
2007-09,7.7
2007-10,1.0
2007-11,-4.4
2007-12,-11.3
2008-01,-11.3
2008-02,-8.3
2008-03,-7.4
2008-04,-3.8
2008-05,3.2
2008-06,6.9
2008-07,13.2
2008-08,12.6
2008-09,6.3
2008-10,1.6
2008-11,-2.7
2008-12,-11.5
2009-01,-8.1
2009-02,-7.1
2009-03,-5.7
2009-04,-1.3
2009-05,3.5
2009-06,7.1
2009-07,11.6
2009-08,11.3
2009-09,10.1
2009-10,-3.6
2009-11,-3.9
2009-12,-12.6
2010-01,-7.3
2010-02,-8.3
2010-03,-3.5
2010-04,-1.5
2010-05,0.4
2010-06,7.1
2010-07,12.1
2010-08,11.7
2010-09,8.1
2010-10,4.0
2010-11,-5.7
2010-12,-8.0
2011-01,-9.6
2011-02,-11.0
2011-03,-5.2
2011-04,-3.4
2011-05,1.7
2011-06,7.0
2011-07,13.0
2011-08,13.0
2011-09,9.0
2011-10,2.1
2011-11,-6.6
2011-12,-8.7
2012-01,-8.2
2012-02,-8.5
2012-03,-2.2
2012-04,1.5
2012-05,3.3
2012-06,9.1
2012-07,14.6
2012-08,13.4
2012-09,9.3
2012-10,0.2
2012-11,-3.1
2012-12,-8.9
2013-01,-9.0
2013-02,-8.6
2013-03,-6.0
2013-04,-3.5
2013-05,4.4
2013-06,8.9
2013-07,14.3
2013-08,13.7
2013-09,8.4
2013-10,-0.2
2013-11,-4.3
2013-12,-11.3
2014-01,-8.1
2014-02,-11.2
2014-03,-5.1
2014-04,-1.5
